time_min,gdm_my_estimate,gdm_other_estimate,gdm_avg,no_gdm_my_estimate,no_gdm_other_estimate,no_gdm_avg
-10,96,97,96.5,80,80,80
0,90,93,91.5,82,83,82.5
10,95,98,96.5,83,84,83.5
20,110,110,110,98,99,98.5
30,138,138,138,122,121,121.5
40,163,162,162.5,138,139,138.5
50,192,191,191.5,144,147,145.5
60,209,209,209,156,154,155
70,204,202,203,152,152,152
80,197,193,195,145,145,145
90,183,182,182.5,138,138,138
100,184,183,183.5,137,137,137
110,177,177,177,132,131,131.5
120,163,162,162.5,128,128,128
130,159,159,159,120,120,120
